"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_21[[5]]$meanSharv","double","numeric",100,NA,FALSE,"c(834.788909021178, 855.574672686497, 838.345492659912) … (97 more)"
"<root>$results$data$scen_22","list","list",5,NA,TRUE,NA
"<root>$results$data$scen_22[[1]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_22[[1]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_22[[1]]$Ret","double","numeric",100,NA,FALSE,"c(20040, 17083, 14944) … (97 more)"
"<root>$results$data$scen_22[[1]]$Rec","double","numeric",100,NA,FALSE,"c(22165, 30923, 19653) … (97 more)"
"<root>$results$data$scen_22[[1]]$eps","double","numeric",100,NA,FALSE,"c(-0.37566, -0.04118, -0.43972) … (97 more)"
"<root>$results$data$scen_22[[1]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 1) … (97 more)"
"<root>$results$data$scen_22[[1]]$Esc","double","numeric",100,NA,FALSE,"c(9652, 10737, 7841) … (97 more)"
"<root>$results$data$scen_22[[1]]$Harv","double","numeric",100,NA,FALSE,"c(10388, 6346, 7103) … (97 more)"
"<root>$results$data$scen_22[[1]]$RepOut","double","numeric",100,NA,FALSE,"c(7995010, 8940526, 5832098) … (97 more)"
"<root>$results$data$scen_22[[1]]$lnRS","double","numeric",100,NA,FALSE,"c(0.831349320434232, 1.0578045231402, 0.918863621169064) … (97 more)"
"<root>$results$data$scen_22[[1]]$meanSesc","double","numeric",100,NA,FALSE,"c(854.970655305969, 839.031025449495, 828.347158610688) … (97 more)"
"<root>$results$data$scen_22[[1]]$meanSret","double","numeric",100,NA,FALSE,"c(854.557198442116, 838.875469398388, 829.007028607805) … (97 more)"
"<root>$results$data$scen_22[[1]]$meanSharv","double","numeric",100,NA,FALSE,"c(854.173188939115, 838.612542926492, 829.736241190899) … (97 more)"
"<root>$results$data$scen_22[[2]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_22[[2]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
